id,year,section,user,amphitheatre,module,seat_block,seat_row,seat_column,latitude_mean,longitude_mean,accuracy_mean,gps_variance,is_outside,sample_count,raw_gps_readings,collection_metadata,navigator_context,screen_context,network_information,battery_status,timestamp,created_at,device_info,target_label,dist_Amphi_1,dist_Amphi_2,dist_Amphi_3,dist_Amphi_4,dist_Amphi_5,dist_Amphi_6,dist_Amphi_7,dist_Amphi_8,dist_nearest,dist_2nd,dist_gap,nearest_amphi,log_accuracy,accuracy_bin,high_accuracy_flag,has_seat,seat_block_enc,seat_row_filled,seat_column_filled,seat_zone_id,hour_of_day,hour_sin,hour_cos,label_enc
7035,2,,,Amphi 4,Computer Architecture,Left,1.0,3.0,36.6882743,2.8661181,7.89900016784668,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:09:47.190000+00:00,2026-04-12 16:09:47.851406+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4,0.0005977344939431179,0.0003831473153101075,0.00016388089004522224,3.1959308564288314e-05,0.0005784164151464326,0.00036615494365672236,0.0001864017301890084,6.135710425531169e-05,3.1959308564288314e-05,6.135710425531169e-05,2.9397795691023374e-05,Amphi 4,2.1859389297360217,0,1,1,0,1.0,3.0,103,16,-0.8660254037844385,-0.5000000000000004,3
619,1,,,Amphi 2,Object Oriented Programming,Center,1.0,6.0,36.6883459,2.8664983,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:31.150000+00:00,2026-04-08 07:43:33.205984+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 2,0.00021103864097149765,8.666891358779818e-06,0.00026621602357669577,0.0003771104546829686,0.00019225882894119423,2.274925813075365e-05,0.00021426527987641422,0.00038272992476652253,8.666891358779818e-06,2.274925813075365e-05,1.4082366771973834e-05,Amphi 2,3.044522437723423,0,1,1,1,1.0,6.0,106,7,0.9659258262890683,-0.25881904510252063,1
1296,1,,,Amphi 2,Object Oriented Programming,Right,4.0,3.0,36.6883401,2.8664768,34.31999969482422,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:20:39.922000+00:00,2026-04-08 09:20:44.007714+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Amphi 2,0.00023330094918426778,2.0697611710971954e-05,0.0002460960702446857,0.0003551329589519677,0.00021419148590921661,1.0924392400827742e-05,0.00019327203652095166,0.00036111949363233176,1.0924392400827742e-05,2.0697611710971954e-05,9.773219310144212e-06,Amphi 6,3.5644493670954485,1,0,1,2,4.0,3.0,403,9,0.7071067811865476,-0.7071067811865475,1
2341,1,,,Amphi 2,Object Oriented Programming,Right,4.0,5.0,36.6883484,2.866505,11.70699977874756,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:26:44.107000+00:00,2026-04-08 09:26:45.759619+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2,0.00020393941622819114,1.2691825982412574e-05,0.0002724511930597694,0.00038404226339444213,0.00018539114570888048,2.8986521875901394e-05,0.00022082568753812508,0.00038950161767179484,1.2691825982412574e-05,2.8986521875901394e-05,1.629469589348882e-05,Amphi 2,2.542153005310542,0,1,1,2,4.0,5.0,405,9,0.7071067811865476,-0.7071067811865475,1
3839,3,,,Amphi 6,Machine Learning,Center,6.0,1.0,36.6883548,2.8664807,9.67099952697754,0.0,False,1,[],{},{},{},{},{},2026-04-12 08:26:09.962000+00:00,2026-04-12 08:26:10.723692+00:00,"Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.7727.55 Mobile Safari/537.36",Amphi 6,0.0002264000319319603,1.2564316277095082e-05,0.00024748796198267165,0.00036071510036090015,0.00020934538535488526,5.940488965285234e-06,0.0001963296840222232,0.0003654956840070914,5.940488965285234e-06,1.2564316277095082e-05,6.623827311809848e-06,Amphi 6,2.3675297373065796,0,1,1,1,6.0,1.0,601,8,0.8660254037844387,-0.4999999999999998,5
6731,2,,,Amphi 4,Computer Architecture,Center,6.0,5.0,36.6882892,2.8661293,25.10099983215332,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:06:53.433000+00:00,2026-04-12 16:06:54.145062+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4,0.0005838702793186608,0.00036933525740245887,0.00014549053935503033,1.767040868753823e-05,0.0005652548845802882,0.0003522942385593852,0.00016987910307166536,4.835973058341326e-05,1.767040868753823e-05,4.835973058341326e-05,3.068932189587503e-05,Amphi 4,3.2619736213402626,0,1,1,1,6.0,5.0,605,16,-0.8660254037844385,-0.5000000000000004,3
8065,3,,,Amphi 8,Manual Selection,Right,7.0,5.0,36.6883298,2.8661221,30.00900077819824,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:32:49.030000+00:00,2026-04-20 12:32:50.834844+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",Amphi 8,0.0005849943476020646,0.000371725575627726,0.00012777091929222034,2.4001867797400738e-05,0.0005687157964171099,0.00035466507868225173,0.0001648215271351058,8.637939635562775e-06,8.637939635562775e-06,2.4001867797400738e-05,1.5363928161837964e-05,Amphi 8,3.4342775100262286,1,0,1,2,7.0,5.0,705,12,1.2246467991473532e-16,-1.0,7
3465,1,,ayoub,Amphi 6,,,,,36.68839285864519,2.866500912441172,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-12 07:28:18.006000+00:00,2026-04-12 07:28:38.686742+00:00,,Amphi 6,0.00020247200310613615,4.077038598203585e-05,0.00026541420639543547,0.0003874877554847708,0.0001916616693951347,4.8641120673023525e-05,0.00021921803493683606,0.0003894348400907877,4.077038598203585e-05,4.8641120673023525e-05,7.870734690987678e-06,Amphi 2,3.044522437723423,0,1,0,3,-1.0,-1.0,-1,7,0.9659258262890683,-0.25881904510252063,5
7162,2,,,Amphi 4,Computer Architecture,Left,4.0,3.0,36.6882719,2.8661053,27.68400001525879,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:11:06.528000+00:00,2026-04-12 16:11:07.093249+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4,0.0006107551813928185,0.0003961675664941706,0.00017487565974849548,3.841985339936609e-05,0.0005914318994424417,0.0003791738472499343,0.00019893902055547873,6.455509238075838e-05,3.841985339936609e-05,6.455509238075838e-05,2.6135238981392285e-05,Amphi 4,3.3563394765522903,0,1,1,0,4.0,3.0,403,16,-0.8660254037844385,-0.5000000000000004,3
5582,3,,,Amphi 5,Computer and Network Security,Left,6.0,3.0,36.688341,2.8666955,20.899999618530277,0.0,False,1,[],{},{},{},{},{},2026-04-12 12:18:13.486000+00:00,2026-04-12 12:18:12.896956+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 5,5.53236912700443e-05,0.000202735367326696,0.00046242509802621733,0.0005732554389653066,2.0979616703109532e-05,0.000219597315850012,0.0004114669317590658,0.0005798166340883722,2.0979616703109532e-05,5.53236912700443e-05,3.434407456693476e-05,Amphi 5,3.0864866194037464,0,1,1,0,6.0,3.0,603,12,1.2246467991473532e-16,-1.0,4
3290,1,,nasro,Outside,,,,,36.6883752,2.8664811,5.861000061035156,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:47:04.888000+00:00,2026-04-08 20:48:31.851400+00:00,,Outside,0.00022321271216754372,2.53801739006183e-05,0.0002459335821461439,0.00036443875352798553,0.00020931320500959053,2.4701154782808474e-05,0.00019740334176473773,0.0003675300543405613,2.4701154782808474e-05,2.53801739006183e-05,6.790191178098249e-07,Amphi 6,1.92585321260471,0,1,0,3,-1.0,-1.0,-1,20,-0.8660254037844386,0.5000000000000001,8
6611,2,,,Amphi 4,Computer Architecture,Right,4.0,3.0,36.688395487855765,2.86619900914336,23.996526631786075,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:04:57.863000+00:00,2026-04-12 16:04:58.564115+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4,0.0005043545582823588,0.0002971774867600823,3.71652038080759e-05,0.00011733204779468286,0.0004921311579517084,0.0002806691373361966,9.306542003499972e-05,0.0001025880689115205,3.71652038080759e-05,9.306542003499972e-05,5.590021622692382e-05,Amphi 3,3.21873688048732,0,1,1,2,4.0,3.0,403,16,-0.8660254037844385,-0.5000000000000004,3
8086,3,,,Amphi 8,Manual Selection,Right,7.0,5.0,36.6883298,2.8661221,30.00900077819824,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:32:49.032000+00:00,2026-04-20 12:32:50.850676+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",Amphi 8,0.0005849943476020646,0.000371725575627726,0.00012777091929222034,2.4001867797400738e-05,0.0005687157964171099,0.00035466507868225173,0.0001648215271351058,8.637939635562775e-06,8.637939635562775e-06,2.4001867797400738e-05,1.5363928161837964e-05,Amphi 8,3.4342775100262286,1,0,1,2,7.0,5.0,705,12,1.2246467991473532e-16,-1.0,7
5593,3,,,Amphi 5,Computer and Network Security,Left,6.0,3.0,36.688341,2.8666955,20.899999618530277,0.0,False,1,[],{},{},{},{},{},2026-04-12 12:18:13.486000+00:00,2026-04-12 12:18:13.183411+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 5,5.53236912700443e-05,0.000202735367326696,0.00046242509802621733,0.0005732554389653066,2.0979616703109532e-05,0.000219597315850012,0.0004114669317590658,0.0005798166340883722,2.0979616703109532e-05,5.53236912700443e-05,3.434407456693476e-05,Amphi 5,3.0864866194037464,0,1,1,0,6.0,3.0,603,12,1.2246467991473532e-16,-1.0,4
455,1,,,Amphi 2,Object Oriented Programming,Center,2.0,4.0,36.688348,2.8664913,13.248000144958496,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:09.987000+00:00,2026-04-08 07:43:14.282177+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",Amphi 2,0.00021737568506602822,5.1692012488930275e-06,0.0002589715308264401,0.00037038404976488457,0.00019908673506308184,1.5463888676585988e-05,0.00020716082013030697,0.00037579587426834224,5.1692012488930275e-06,1.5463888676585988e-05,1.029468742769296e-05,Amphi 2,2.6566165561613144,0,1,1,1,2.0,4.0,204,7,0.9659258262890683,-0.25881904510252063,1
